iter	Passed	Remaining
770	1044	310
771	1045	308
772	1047	307
773	1049	306
774	1050	304
775	1052	303
776	1053	302
777	1054	300
778	1058	300
779	1059	298
780	1061	297
781	1062	296
782	1063	294
783	1065	293
784	1066	291
785	1067	290
786	1067	289
787	1068	287
788	1070	286
789	1072	285
790	1073	283
791	1075	282
792	1076	280
793	1077	279
794	1078	278
795	1079	276
796	1081	275
797	1082	273
798	1083	272
799	1087	271
800	1089	270
801	1091	269
802	1092	268
803	1094	266
804	1095	265
805	1096	263
806	1097	262
807	1099	261
808	1101	260
809	1102	258
810	1104	257
811	1105	255
812	1106	254
813	1107	253
814	1108	251
815	1110	250
816	1111	248
817	1112	247
818	1115	246
819	1116	245
820	1118	243
821	1119	242
822	1120	241
823	1122	239
824	1123	238
825	1124	236
826	1125	235
827	1126	234
828	1130	233
829	1131	231
830	1133	230
831	1134	229
832	1136	227
833	1137	226
834	1138	224
835	1139	223
836	1140	222
837	1141	220
838	1142	219
839	1143	217
840	1145	216
841	1146	215
842	1148	213
843	1149	212
844	1150	211
845	1151	209
846	1152	208
847	1153	206
848	1154	205
849	1155	203
850	1157	202
851	1159	201
852	1161	200
853	1162	198
854	1163	197
855	1165	196
856	1166	194
857	1167	193
858	1168	191
859	1169	190
860	1170	188
861	1171	187
862	1174	186
863	1175	185
864	1176	183
865	1178	182
866	1179	180
867	1180	179
868	1181	178
869	1182	176
870	1183	175
871	1184	173
872	1185	172
873	1188	171
874	1190	170
875	1191	168
876	1193	167
877	1194	165
878	1195	164
879	1196	163
880	1197	161
881	1198	160
882	1199	158
883	1200	157
884	1202	156
885	1204	154
886	1206	153
887	1207	152
888	1208	150
889	1210	149
890	1211	148
891	1212	146
892	1213	145
893	1216	144
894	1217	142
895	1219	141
896	1221	140
897	1222	138
898	1223	137
899	1224	136
900	1225	134
901	1226	133
902	1227	131
903	1228	130
904	1230	129
905	1232	127
906	1234	126
907	1235	125
908	1236	123
909	1238	122
910	1239	121
911	1240	119
912	1241	118
913	1242	116
914	1243	115
915	1245	114
916	1247	112
917	1249	111
918	1250	110
919	1251	108
920	1252	107
921	1254	106
922	1255	104
923	1256	103
924	1257	101
925	1260	100
926	1263	99
927	1265	98
928	1266	96
929	1267	95
930	1269	94
931	1270	92
932	1271	91
933	1274	90
934	1277	88
935	1278	87
936	1280	86
937	1281	84
938	1283	83
939	1284	82
940	1285	80
941	1286	79
942	1288	77
943	1290	76
944	1291	75
945	1293	73
946	1295	72
947	1297	71
948	1299	69
949	1300	68
950	1301	67
951	1303	65
952	1306	64
953	1307	63
954	1309	61
955	1310	60
956	1312	58
957	1315	57
958	1316	56
959	1319	54
960	1321	53
961	1323	52
962	1324	50
963	1326	49
964	1327	48
965	1329	46
966	1330	45
967	1333	44
968	1334	42
969	1337	41
970	1338	39
971	1339	38
972	1341	37
973	1343	35
974	1358	34
975	1359	33
976	1362	32
977	1363	30
978	1365	29
979	1366	27
980	1367	26
981	1369	25
982	1371	23
983	1372	22
984	1374	20
985	1375	19
986	1378	18
987	1379	16
988	1381	15
989	1382	13
990	1384	12
991	1385	11
992	1386	9
993	1387	8
994	1391	6
995	1394	5
996	1397	4
997	1398	2
998	1400	1
999	1401	0
